logFC	logCPM	F	PValue	FDR	mrna
2.6169567156553	5.36809528343135	202.632881578963	1.3177317206351e-10	9.57200321869336e-09	CUT485
2.76373391997562	5.35597941351675	201.141769307845	1.39343193213152e-10	1.00415570982176e-08	NUT0156
5.30449223293917	3.75196612139491	199.7045630324	1.47104598301629e-10	1.05173996266046e-08	CUT811
8.12276473271183	3.40519337975686	198.970558105235	1.51254934508708e-10	1.07296469167115e-08	YMR194C-A
4.31921115096459	4.61422393783534	197.892804721851	1.57589373877747e-10	1.10923373241081e-08	XUT_14R-204
-1.90469554034813	7.01267998007404	197.06005920279	1.6268805033878e-10	1.13631345928932e-08	YCL014W
6.19917337559315	3.51753508514399	196.26778457836	1.6771146553543e-10	1.16245809699367e-08	NUT0771
4.90659993621062	4.26354655233633	196.005796666007	1.69410739878789e-10	1.1653405440147e-08	XUT_4R-365
2.78325771115235	4.75453359822183	195.803009249203	1.70739313343324e-10	1.165648845983e-08	NUT0430
6.71721352476654	7.32297223663261	234.450126428016	1.7369136948645e-10	1.17695345890818e-08	XUT_10F-82
